sku,name,description,price,category,media_url
PROD001,Industrial Drill Press,Metalworking drill press for heavy-duty applications,1299.99,Tools & Equipment,https://images.unsplash.com/photo-1591826112609-97a325b09e9c?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600&q=80
PROD002,Commercial Refrigerator,Stainless steel commercial refrigerator with dual zones,2499.99,Equipment,https://images.unsplash.com/photo-1580477667091-7d04c2c59b65?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600&q=80
PROD003,Office Chair Executive,High-back executive office chair with adjustable features,299.99,Furniture,https://images.unsplash.com/photo-1505705695099-8747ec3cdc18?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600&q=80
PROD004,LED Panel Light 50W,Energy-efficient LED panel light,59.99,Lighting,https://images.unsplash.com/photo-1593649770856-8e5a4f9af2e9?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600&q=80
PROD005,Wireless Barcode Scanner,Industrial-grade wireless barcode scanner,149.99,Electronics,https://images.unsplash.com/photo-1585123334904-845d60e97b29?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600&q=80
PROD006,Steel Storage Cabinet,Four-drawer steel storage cabinet for tools,399.99,Storage,https://images.unsplash.com/photo-1512551980223-ee0a38d91d54?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600&q=80
PROD007,Commercial Oven,Convection commercial oven for restaurants,3299.99,Equipment,https://images.unsplash.com/photo-1556911220-e15b29be8c8f?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600&q=80
PROD008,Ergonomic Keyboard,Ergonomic split keyboard for office use,89.99,Electronics,https://images.unsplash.com/photo-1544174083-02f32cbb6e17?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600&q=80
PROD009,Industrial Vacuum,Heavy-duty industrial vacuum cleaner,499.99,Cleaning Equipment,https://images.unsplash.com/photo-1581092580497-e0d23cbdf1dc?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600&q=80
PROD010,Conference Room Table,Large rectangular conference room table,799.99,Furniture,https://images.unsplash.com/photo-1503602642458-232111445657?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600&q=80
PROD011,Security Camera Outdoor,Weatherproof outdoor security camera,129.99,Security,https://images.unsplash.com/photo-1594819047-466d84a740b9?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600&q=80
